Treatment,Open Boll Weight (g),Open Bolls per Plant,Seed Weight (g),Lint Weight (g),Log-OpenBollWeight,Log-OpenBollsperPlant,Log-SeedWeight,Log-LintWeight
IQ,98.16,22,51.8,43.6,4.5865988004,3.0910424534,3.9473901493,3.7750571504
IQ,42.72,13,18,14.9,3.7546671947,2.5649493575,2.8903717579,2.701361213
IQ,85.4,21,41,31.4,4.4473461008,3.0445224377,3.7135720667,3.4468078929
IQ,50.09,12,22.4,19,3.9138213874,2.4849066498,3.1090609589,2.9444389792
IQ,73.54,16,37.3,34.7,4.2978294759,2.7725887222,3.6189933266,3.546739687
IQ,50.37,18,27.6,22.8,3.9193957598,2.8903717579,3.3178157727,3.126760536
IQ,72.46,16,33.7,28.1,4.2830346855,2.7725887222,3.5174978374,3.3357695763
IQ,122.13,29,64.8,55.7,4.8050860512,3.36729583,4.1713056034,4.0199801469
IQ,73.74,14,41,32,4.3005453928,2.6390573296,3.7135720667,3.4657359028
IQ,99.34,22,49.5,39.5,4.5985483097,3.0910424534,3.9019726696,3.6763006719
IQ,52.93,16,24.4,17.1,3.9689702859,2.7725887222,3.1945831323,2.8390784635
IQ,65.66,17,35.9,29.4,4.1844899121,2.8332133441,3.5807372955,3.3809946743
IQ,58.8,10,27.1,21,4.0741418549,2.302585093,3.2995337279,3.0445224377
IQ,56.41,13,31,25.2,4.0326464478,2.5649493575,3.4339872045,3.2268439945
IQ,154.48,29,83,71,5.0400646381,3.36729583,4.4188406078,4.262679877
IQ,221.86,42,112.8,98,5.4020465523,3.7376696183,4.7256163391,4.5849674787
IQ,120.75,26,59.7,49.4,4.7937222925,3.258096538,4.0893320204,3.8999504242
IQ,90.54,16,45.8,35,4.505791742,2.7725887222,3.8242840911,3.5553480615
IQ,122.88,22,61,51.6,4.8112082694,3.0910424534,4.1108738642,3.9435216725
IQ,105.22,17,53.7,42.8,4.6560533963,2.8332133441,3.9834130015,3.7565381026
Control,85.2,17,43.8,35.5,4.4450014338,2.8332133441,3.7796338174,3.5695326965
Control,66.38,15,30,24.7,4.1953958063,2.7080502011,3.4011973817,3.2068032436
Control,59.08,16,29.4,21.4,4.0788924577,2.7725887222,3.3809946743,3.063390922
Control,69.56,18,30.9,27.8,4.2421896895,2.8903717579,3.4307561839,3.3250360207
Control,59.15,13,26.5,21.7,4.0800765904,2.5649493575,3.277144733,3.0773122605
Control,28.8,5,14.4,9.4,3.3603753871,1.6094379124,2.6672282066,2.2407096893
Control,48.82,13,24.7,16.6,3.888140065,2.5649493575,3.2068032436,2.8094026954
Control,22.6,6,9.5,5.8,3.1179499063,1.7917594692,2.2512917986,1.7578579176
Control,36.31,10,16,9.6,3.5920931854,2.302585093,2.7725887222,2.2617630985
Control,102.11,23,49.9,40,4.6260506636,3.1354942159,3.9100210028,3.6888794541
Control,102.29,20,50.2,40.7,4.6278119165,2.9957322736,3.9160150267,3.7062280924
Control,48.03,11,20.8,18.2,3.8718258157,2.3978952728,3.0349529867,2.9014215941
Control,76.71,15,37.5,28.6,4.340032078,2.7080502011,3.624340933,3.3534067178
Control,60.24,12,28.3,22,4.0983365835,2.4849066498,3.3428618046,3.0910424534
Control,68.73,17,32.2,25.1,4.2301857851,2.8332133441,3.4719664526,3.2228678461
Control,66.93,13,31.6,25.6,4.2036472971,2.5649493575,3.4531571206,3.2425923515
Control,41.6,9,21.1,14.6,3.7281001673,2.1972245773,3.0492730405,2.6810215287
Control,90,17,45.8,33.7,4.4998096703,2.8332133441,3.8242840911,3.5174978374
Control,80.76,19,36.7,33,4.3914817934,2.9444389792,3.6027767551,3.4965075615
Control,57.45,16,27.6,22.1,4.0509150043,2.7725887222,3.3178157727,3.0955776085
