Sample ID,Group (iQ/Control),# of Plants,# of Pods,# of Seeds,Weight of Seeds (g),# of Pods / Plant,# of Seeds / Plant,Weight of Seeds / Plant (g),Weight per 100 seeds,Seed Oil Content (%),Seed Protein Content (%)
1U,iQ,20,836,1549,207.52,41.8,77.45,10.376,13.3970303421562,22.2,37.4
2U,iQ,15,900,1890,204.52,60,126,13.6346666666667,10.821164021164,21.5,39.6
3U,iQ,10,1322,2629,366.17,132.2,262.9,36.617,13.9281095473564,21.0,39.1
4U,iQ,20,1346,2749,325.42,67.3,137.45,16.271,11.8377591851582,20.9,39.7
5U,iQ,10,1205,2264,299.5,120.5,226.4,29.95,13.2287985865724,21.0,39.3
6L,iQ,11,1089,2423,308.19,99,220.272727272727,28.0172727272727,12.7193561700371,20.5,40.8
7U,iQ,10,1203,2236,310.57,120.3,223.6,31.057,13.8895348837209,21.9,38.7
8U,iQ,18,736,1512,189.49,40.8888888888889,84,10.5272222222222,12.5324074074074,22.4,37.4
9L,iQ,15,1005,2195,247.25,67,146.333333333333,16.4833333333333,11.2642369020501,19.9,41.3
10U,iQ,22,1055,2277,263.42,47.9545454545455,103.5,11.9736363636364,11.5687307861221,21.6,37.1
11L,iQ,16,601,1176,144.98,37.5625,73.5,9.06125,12.328231292517,20.1,40.9
12L,iQ,15,925,1970,200.92,61.6666666666667,131.333333333333,13.3946666666667,10.1989847715736,20.6,39.0
13L,iQ,15,586,1286,138.35,39.0666666666667,85.7333333333333,9.22333333333333,10.7581648522551,19.8,40.8
14L,iQ,13,781,2585,178.45,60.0769230769231,198.846153846154,13.7269230769231,6.90328820116054,21.2,39.6
15U,iQ,17,838,1841,216.1,49.2941176470588,108.294117647059,12.7117647058824,11.738185768604,20.9,37.7
16U,iQ,12,1259,2696,309.04,104.916666666667,224.666666666667,25.7533333333333,11.4629080118694,21.0,37.8
17L,iQ,15,773,1505,166.34,51.5333333333333,100.333333333333,11.0893333333333,11.0524916943522,20.7,40.0
18L,iQ,18,1141,2346,262.08,63.3888888888889,130.333333333333,14.56,11.1713554987212,19.5,41.8
19L,iQ,15,1214,2581,310.66,80.9333333333333,172.066666666667,20.7106666666667,12.0364199922511,19.3,42.6
20L,iQ,12,1358,2897,296.81,113.166666666667,241.416666666667,24.7341666666667,10.2454263030721,21.5,37.4
1U,Control,20,461,892,109.09,23.05,44.6,5.4545,12.2298206278027,21.2,39.4
2U,Control,13,756,1406,167.91,58.1538461538462,108.153846153846,12.9161538461538,11.9423897581792,21.8,37.8
3U,Control,13,675,1214,153.04,51.9230769230769,93.3846153846154,11.7723076923077,12.6062602965404,21.2,39.7
4U,Control,15,853,1533,192.05,56.8666666666667,102.2,12.8033333333333,12.5277234181344,20.9,39.0
5U,Control,11,377,791,94.91,34.2727272727273,71.9090909090909,8.62818181818182,11.9987357774968,20.5,39.3
6U,Control,7,789,1782,221.9,112.714285714286,254.571428571429,31.7,12.4523007856341,19.4,42.0
7L,Control,19,421,779,84.13,22.1578947368421,41,4.4278947368421,10.7997432605905,20.7,39.8
8L,Control,23,465,965,118.11,20.2173913043478,41.9565217391304,5.13521739130435,12.239378238342,20.0,40.7
9L,Control,8,334,872,105.2,41.75,109,13.15,12.0642201834862,21.8,38.9
10L,Control,15,680,1367,158.96,45.3333333333333,91.1333333333333,10.5973333333333,11.6283833211412,20.3,40.5
11U,Control,17,622,1296,144.01,36.5882352941176,76.2352941176471,8.47117647058823,11.1118827160494,21.0,39.4
12U,Control,8,718,1597,163.16,89.75,199.625,20.395,10.2166562304321,20.8,38.8
13L,Control,11,801,1636,158.08,72.8181818181818,148.727272727273,14.3709090909091,9.66259168704157,21.9,37.4
14L,Control,14,615,1273,137.21,43.9285714285714,90.9285714285714,9.80071428571429,10.7784760408484,21.0,39.5
15L,Control,7,391,848,85.91,55.8571428571429,121.142857142857,12.2728571428571,10.1308962264151,21.6,36.7
16L,Control,19,475,1033,105.46,25,54.3684210526316,5.55052631578947,10.2090997095837,20.8,39.3
17L,Control,12,668,1487,154.07,55.6666666666667,123.916666666667,12.8391666666667,10.3611297915266,21.0,37.4
18L,Control,11,619,1219,119.58,56.2727272727273,110.818181818182,10.8709090909091,9.80968006562756,21.1,36.9
19U,Control,9,491,1092,116.73,54.5555555555556,121.333333333333,12.97,10.6895604395604,21.3,38.2
20U,Control,20,561,1202,119.67,28.05,60.1,5.9835,9.9559068219634,21.2,36.4
